id,logo_path,name,origin_country,movie_id
10342,/uFuxPEZRUcBTEiYIxjHJq62Vr77.png,Studio Ghibli,JP,8392
12516,,Nibariki,JP,8392
1779,/41nGzTdCnORYZIZzaGZtfsBwQCl.png,Tokuma Shoten,JP,8392
226986,,Romaine Film Corporation,US,198
7965,/eZ6DeFO1mhHtzxB1aACcEzKqQ7L.png,The Ladd Company,US,197
152,/rC2pFo4IBQVSVZvucDLwMRvZHfi.png,Icon Productions,US,197
174,/ingPVoHnINIrFR7WHmYux1f5pES.png,Warner Bros. Pictures,US,696506
81,/8wOfUhA7vwU2gbPjQy7Vv3EiF0o.png,Plan B Entertainment,US,696506
168228,,Offscreen,GB,696506
81024,,Kate Street Picture Company,US,696506
216687,/kKVYqekveOvLK1IgqdJojLjQvtu.png,Domain Entertainment,US,696506
5809,/aqc1Sj5nfPWb9rjf1TSayKBPlno.png,Frontier Works,JP,671947
11788,,Compagnie Industrielle et Commerciale Cinématographique,FR,204
141,,Véra Films,FR,204
144,,Fono Roma,IT,204
534,,Filmsonor,FR,204
5809,/aqc1Sj5nfPWb9rjf1TSayKBPlno.png,Frontier Works,JP,671942
60,/4YldLvCWQL9VIAHQ2Fu3Ffkh9Si.png,United Artists,US,205
2760,,Miracle Pictures,US,205
217089,,Seamus,ZA,205
52723,,Inside Track,GB,205
217090,,Kiagli Releasing,GB,205
11912,,Mikado Film,IT,205
21,/usUnaYV6hQnlVAXP6r4HwrlLFPG.png,Metro-Goldwyn-Mayer,US,205
2188,/f1zrx8bIsS81AHoPQq4riJx68Lt.png,Artisan Entertainment,US,205
35,/wxrHa3nZ1K4zo65p56991INkGo6.png,Lions Gate Films,US,205
178464,/tyHnxjQJLH6h4iDQKhN5iqebWmX.png,Netflix,US,770254
184460,,A Steven Haft Production,,207
1089,,Witt/Thomas Productions,,207
10282,,Silver Screen Partners IV,US,207
9195,/geK5QOBsXIPGHutKwXtYjMUyYSG.png,Touchstone Pictures,US,207
73110,,"Cheun Wa Film Co., Ltd.",,106703
248570,,上海摩天之眼文化传媒有限公司,,1155281
148024,/hwoojywsskxB91jw2QwgLeTwMr.png,Beijing Culture,CN,1155281
190261,,Century Changshengtian Film,CN,1155281
69484,/2xtmvbEse87LM7OJXVksv7DToZx.png,Alibaba Pictures Group,CN,1155281
25660,,Huaxia Film Distribution,CN,1155281
243684,,北京京西文化旅游股份有限公司,,1155281
250608,,东阳浦天影视文化有限公司,,1155281
11626,,Tango Film,DE,216
10869,,Filmverlag der Autoren,DE,216
267939,,Suginoko Production,JP,794838
138285,/fjxX3f0XFIZYwUlpJkd4IAuNrWJ.png,Okura Pictures,JP,794838
21,/usUnaYV6hQnlVAXP6r4HwrlLFPG.png,Metro-Goldwyn-Mayer,US,213
3952,/hLfS5FjBQjK5MUNl7kdXgIHSSWy.png,Hemdale,GB,218
1280,,Pacific Western,US,218
181319,,Korporatsiya Arena,RU,524506
28440,/e3ZD4E99pmgmsu5HueHJpiSJ5ap.png,Lacuna Filmes,BR,237791
102150,,Paraná Filmes,BR,237791
1553,,Selznick International Pictures,US,223
1497,,Marianne Productions,FR,8416
1627,/kx8kRT0rStw6SVEJKgbknFyITA4.png,Maran Film,DE,8416
145000,/8jazKJkZGMOZZKxgg4ockK8azMK.png,Mars Film Produzione,IT,8416
174,/ingPVoHnINIrFR7WHmYux1f5pES.png,Warner Bros. Pictures,US,212
17599,,Klubb Super 8,,499930
99926,,Evilinski Productions,,499930
29079,/syD6xJ3GjYaaQYaFetG8zuYyuv6.png,Bontonfilm,CZ,590053
29284,,love.FRAME,CZ,590053
118491,,Studio Beep,CZ,590053
29285,,FRAME100R,CZ,590053
136728,,Paradajka,CZ,590053
136729,,Durancia,CZ,590053
